Title,Box Office,Average Price,Average Attendance,year
007：大破天幕杀机,37608,34.80495,29.0,2013
007：大破量子危机,19,26.64938,24.0,2013
007：幽灵党,54113,31.540033,28.0,2015
007：无暇赴死,41454,40.356693,7.0,2021
1/2的魔法,7087,32.169945,8.0,2020
101次求婚,19997,33.460766,25.0,2013
1917,6908,32.361782,5.0,2020
1921,50477,34.862495802563544,7.990609584563266,2021
1950他们正年轻,1088,32.43448,2.0,2021
2012喜上加喜,550,30.986922999999997,8.0,2012
2012来了,233,28.897108879828323,8.65236051502146,2011
201314,1315,29.590137,10.0,2013
2019阅兵盛典,2957,37.984283,13.0,2020
2021中国（广州）国际纪录片节金红棉影展,38,56.93090000000001,93.0,2022
2022奥地利古典艺术影像展,30,117.72784,18.0,2022
2022年俄罗斯电影展映活动,28,82.13123,54.0,2022
2022年德国导演维姆·文德斯电影作品展映,103,72.55913,119.0,2022
2022年德国电影大师展（上海）,59,72.8156,628.0,2022
2022年比利时导演达内兄弟电影展映,34,74.19086,166.0,2022
2022年香港电影展,34,68.855995,104.0,2022
2022法国电影展映（北京）,42,60.82989,71.0,2022
2022艺术博物馆主题意大利电影展映活动,27,76.48396999999999,23.0,2022
2022金鸡国际（港澳台）影展,52,69.722824,86.0,2022
2022香港电影经典主题展,28,60.758778,29.0,2022
2024年巴黎奥运会赛事影院直播活动（开幕式）,244,43.78907,18.0,2024
2025年上海“缪斯的多重曝光：德菲因·塞里格逝世35周年法国影展,59,77.597725,582.0,2025
2025年维也纳新年音乐,9,59.75156799999999,19.0,2025
2067,76,32.680473,1.0,2022
20:16,491,25.994009,30.0,2017
21克拉,11013,30.622303000000002,7.0,2018
21岁派对,169,28.056477,3.0,2014
21座桥,2864,34.81583,3.0,2021
22年后的自白,535,32.339462,4.0,2019
234说爱你,248,26.398357,2.0,2016
24小时：末路重生,977,27.433567000000004,4.0,2018
28岁未成年,12913,27.342376999999995,13.0,2016
36号护卫车,100,29.584341,24.0,2020
4B青年之4楼B座,444,27.863836,5.0,2013
5月天诺亚方舟,2068,40.25307,11.0,2013
749局,37573,41.159782,11.0,2024
760号犯人,318,37.81152,2.0,2022
81号农场之保卫麦咭,2441,28.527793999999997,11.0,2013
81号农场之疯狂的麦咭,1847,32.711845,17.0,2014
82号古宅,800,29.777937,4.0,2020
99万次拥抱,157,31.730833000000004,43.0,2021
B+侦探,2473,31.88839003073191,24.812373635260816,2011
B区32号,1486,29.409483,15.0,2011
GT赛车：极速狂飙,1348,36.119713,3.0,2023
HOLD住爱,4411,32.262436,16.0,2012
Hello！树先生,216,30.039864999999995,8.0,2011
S4侠降魔记,364,31.741841999999995,4.0,2018
S的秘密,458,25.615580000000005,33.0,2017
X战警：天启,80083,34.447887,23.0,2016
X战警：逆转未来,72293,37.24087,29.0,2014
X战警：黑凤凰,40915,36.721764,11.0,2019
“吃吃”的爱,2751,32.7125,9.0,2017
“大”人物,37986,36.182503,9.0,2019
“炼”爱,40,32.748524,1.0,2022
“骗骗”喜欢你,44586,36.332434555106985,6.823890907459741,2024
一万公里的约定,375,29.686464,3.0,2017
一万年以后,2775,33.625095,8.0,2015
一个人的武林,11850,36.0675,13.0,2014
一个勺子,2249,29.208103630502443,22.41974210760338,2015
一个和四个,495,41.825413,1.0,2023
一个母亲的复仇,11294,30.833002,7.0,2019
一个温州的女人,77,27.751577000000005,5.0,2014
一个老师的学校,491,34.999645,124.0,2015
一九四二,37107,36.75069226725415,30.958660091087935,2012
一代宗师,28784,36.19181,25.0,2013
一代宗师（终极版）,6302,50.495369999999994,14.0,2015
一八九四·甲午大海战,387,29.349188000000005,10.0,2012
一出好戏,135507,34.711494,25.0,2018
一切都好,2621,37.88454337466615,34.149179702403664,2015
一句顶一万句,2088,29.380325,7.0,2016
一号目标,169,28.2053,3.0,2014
一吻定情,17388,38.28306,15.0,2019
一周的朋友,12168,35.69976,4.0,2022
一场风花雪月的事,2264,32.18225,13.0,2013
