mv_id,polarity_mean,polarity_std,comment_count,count_positive,count_negative,positive_ratio,negative_ratio
1,-0.036101249512284994,0.5874517432513043,375,164,211,0.43733333333333335,0.5626666666666666
2,0.01419123317658857,0.4877042040499801,2019,914,1105,0.45269935611688955,0.5473006438831105
3,0.2255996569005664,0.586908204882587,1996,1214,782,0.6082164328657315,0.39178356713426854
4,0.005826141285375953,0.6991164984102501,1996,982,1014,0.49198396793587174,0.5080160320641283
5,0.03705744973838036,0.6319637502101799,203,109,94,0.5369458128078818,0.4630541871921182
6,-0.36301669902576034,0.5925785470535565,1747,409,1338,0.23411562678878076,0.7658843732112193
7,0.22364683871932947,0.6519805487071538,1996,1265,731,0.6337675350701403,0.3662324649298597
8,0.23285558937211615,0.6063197331578413,1998,1227,771,0.6141141141141141,0.3858858858858859
9,-0.23438456675027772,0.6458602444254554,1121,334,787,0.29794826048171275,0.7020517395182873
10,0.1590552359819412,0.5684990907515178,2000,1120,880,0.56,0.44
11,0.053375835103953294,0.5361870495169563,1998,936,1062,0.46846846846846846,0.5315315315315315
12,0.19897334414578086,0.5751228598492034,1998,1187,811,0.5940940940940941,0.4059059059059059
13,-0.25862898829883946,0.6135351694988075,1996,566,1430,0.2835671342685371,0.7164328657314629
14,0.22890644906840663,0.5773466628636261,1999,1280,719,0.64032016008004,0.35967983991996
15,0.16687395703855554,0.6978448338409343,2017,1185,832,0.5875061973227566,0.41249380267724345
16,0.15395497764173935,0.6115729901258373,289,168,121,0.5813148788927336,0.4186851211072664
17,0.24889918602863187,0.5574128737050223,1998,1293,705,0.6471471471471472,0.35285285285285284
18,0.012362511071084704,0.5539340799827132,1998,891,1107,0.44594594594594594,0.5540540540540541
19,0.1286702841593171,0.6768867520382792,1994,1117,877,0.5601805416248746,0.43981945837512537
20,0.11940906644815748,0.6348960901334637,1375,766,609,0.5570909090909091,0.4429090909090909
21,0.11465912878171199,0.6091866513820557,1998,1114,884,0.5575575575575575,0.44244244244244246
